k,E_ux,E_uy,E_uz
343.0,0.031221344922501986,0.032934941658942535,0.03494050461300236
344.0,0.03036111616806195,0.03221057097632226,0.0341353356110596
345.0,0.029879341183634667,0.03165495458324466,0.033691206608149525
346.0,0.028843144666484702,0.03047916434315457,0.03245290863045988
347.0,0.02845378537919374,0.030046460746771916,0.03185922736461833
348.0,0.02734889125057232,0.029037999909201313,0.030677892917662403
349.0,0.026963190426350436,0.02849339992603332,0.030279312060970818
350.0,0.026050450089520064,0.02758501254512467,0.02924047874246659
351.0,0.025154955380094594,0.026495894804183105,0.02820215338034222
352.0,0.02469947316048901,0.026122968551851908,0.027670843665227613
353.0,0.023600939529115957,0.025073220484846878,0.026515366767992793
354.0,0.023129978985660687,0.024505028984979586,0.02586806789181571
355.0,0.02222528969286738,0.023557780752325383,0.024951732996951033
356.0,0.021415388435263506,0.022905576591291447,0.024140169662336584
357.0,0.020600903940675496,0.02198850661946998,0.023333731682234838
358.0,0.019913452942914734,0.02111929933482194,0.022483660102042353
359.0,0.019218537394158054,0.02050031550549173,0.021807644135053417
360.0,0.018163858462448813,0.019461971565115664,0.02068682851120825
361.0,0.017540013475561417,0.01887528525813974,0.019877112549383364
362.0,0.0166761895749384,0.01779693600734518,0.018996581606859388
363.0,0.016037733943134232,0.017180809174569645,0.0181582436097876
364.0,0.015295801780323838,0.01650540318911839,0.017321529194849132
365.0,0.014794644153652134,0.015904174110871222,0.016630184203092313
366.0,0.014125531258316039,0.015155376665279876,0.016020422465998184
367.0,0.01366074210083363,0.01467753733799111,0.015404662796296086
368.0,0.013059313747358392,0.014035372605033548,0.014801150601536963
369.0,0.012569960921413333,0.013592725031311516,0.014307675355762745
370.0,0.012171762421037362,0.013060954334014696,0.013779668830246557
371.0,0.01181718897862615,0.012597743416948366,0.013301744650772664
372.0,0.011234860110559075,0.012176770004725525,0.012733408391180754
373.0,0.010887702376944648,0.011633945925961741,0.012216589355355242
374.0,0.01050305522919601,0.011273608123101702,0.011853161445044723
375.0,0.010102169297018439,0.010849448843221277,0.01137982725554782
376.0,0.009620538494052183,0.010290506387219872,0.01093988638601297
377.0,0.009389026324724534,0.01001256506035139,0.010610555570667491
378.0,0.009067106504819287,0.009711580253930588,0.010095460779978785
379.0,0.00860143692181348,0.0092554226841535,0.009730710132666286
380.0,0.008329151353412946,0.00896941873426364,0.009334160555923012
