k,Es1,Es2,Es3
111.0,0.0006391495493294911,0.0006471561390753823,0.0006390609907340353
112.0,0.0006268306688323146,0.0006297822121675544,0.0006245916245296387
113.0,0.0006060656003873289,0.0006109657575326845,0.0006036375977293389
114.0,0.0005845292256698325,0.0005895839793083854,0.0005878349379832541
115.0,0.0005624352507051992,0.0005671077822881075,0.000557264843308931
116.0,0.0005466440660451345,0.0005547320765909852,0.0005478028797869217
117.0,0.0005303946693972131,0.0005345386620976141,0.0005297766529607381
118.0,0.0005080733372307516,0.0005111985712283385,0.0005097236851733989
119.0,0.000490847258282976,0.0004976418162112283,0.0004909927981329475
120.0,0.00048099101370765605,0.0004883280908419317,0.0004849373811426532
121.0,0.0004650659566490419,0.0004673310233314596,0.0004646268386312599
122.0,0.0004553884047755652,0.0004546096092515707,0.000451559149400649
123.0,0.00043506047593013804,0.00043824227772159776,0.0004360478051580025
124.0,0.00042103967404360707,0.0004262984407041159,0.0004218079249183771
125.0,0.0004134566203077834,0.00041922997169411294,0.000415424302555728
126.0,0.0003946638568011815,0.0003997389648152934,0.00039583302384497553
127.0,0.0003853275516632983,0.00038851041274090076,0.0003846932006709702
128.0,0.0003750398174703263,0.0003774229898753595,0.0003746054753434955
129.0,0.00036596879792249586,0.0003715667825971377,0.00036744748639092474
130.0,0.0003536272530760157,0.00035583435844964835,0.0003532805255964664
131.0,0.00033945458763297504,0.0003411757988048677,0.0003396695776186906
132.0,0.00033713068149954326,0.0003404856957639949,0.00033626475885615225
133.0,0.000321350735486149,0.0003235631370437773,0.0003243891126724351
134.0,0.0003156073445393927,0.0003177456207687813,0.00031531671627770376
135.0,0.0003012435024119191,0.00030443765885996627,0.00030231073775673897
136.0,0.0002996031955272875,0.0002994616681223829,0.00029735964699219823
137.0,0.00029034728940611874,0.00029338945605789855,0.00029124005518407943
138.0,0.00027967497581784254,0.0002830724602680368,0.0002795317659128027
139.0,0.00027102183556656855,0.00027424389734330353,0.0002717130549526188
140.0,0.00026489749508201444,0.00026812997180882296,0.0002652203632884747
141.0,0.00025820021055529405,0.000259512279255819,0.0002581562024403906
142.0,0.0002515426662761587,0.00025618514428866877,0.00025250271030883594
143.0,0.0002417035266279428,0.00024408375202396272,0.00024197004764448953
144.0,0.0002372553560069135,0.0002390740333250855,0.00023808576707982535
145.0,0.00023204188422927804,0.00023361068610590598,0.00023247093047948836
146.0,0.00022644112141911323,0.00022854558837294683,0.0002253890137218371
147.0,0.00021948130447438485,0.00022098359639909754,0.00022032737670181368
148.0,0.00021450857344853955,0.00021632903100338475,0.00021335836278181617
149.0,0.00021001481871307142,0.0002107742803622078,0.00021081912954298376
150.0,0.00020248786861557126,0.0002049682610636881,0.00020344306986590447
151.0,0.00019562250559798753,0.00019884178549597466,0.00019651981908787796
152.0,0.00019228139929755326,0.00019436247649204778,0.00019164127053970776
153.0,0.00018778608805643644,0.00018908355865070254,0.0001876157253578513
154.0,0.0001843163500784393,0.00018542747005838482,0.00018446739719383127
155.0,0.00017694528816884452,0.0001795760358958299,0.00017802862140898728
156.0,0.0001740693728662506,0.0001756637478337486,0.0001752231224668709
