k,E_Jx,E_Jy,E_Jz
138.0,5.0721708536072464e-64,1.0981638352383567e-63,2.0868265096033416e-63
139.0,5.310598739041477e-64,1.1121043068744489e-63,2.0855014079197203e-63
140.0,5.0048926686678856e-64,1.1131496774539741e-63,2.0362502756605572e-63
141.0,4.6393890775537124e-64,1.0520350163096488e-63,1.9500774368713067e-63
142.0,4.5269837739405374e-64,1.0619514163519342e-63,2.0163483280958378e-63
143.0,4.312082722902795e-64,1.0336803123875712e-63,1.8922636619117504e-63
144.0,4.037344258509046e-64,1.0145810115455971e-63,1.8928233489007207e-63
145.0,4.109144397273637e-64,1.042250611346785e-63,1.8802059727786009e-63
146.0,4.213020485423949e-64,1.0387389439445664e-63,1.96242345806108e-63
147.0,4.050155956183149e-64,1.0437020080911542e-63,1.941334849637206e-63
148.0,4.104169217806714e-64,1.0375904830651166e-63,1.9634448803307577e-63
149.0,4.0540141184716866e-64,1.0664653009082561e-63,1.9972775322576615e-63
150.0,4.044382038090342e-64,1.0557100729075788e-63,1.8888545379156368e-63
151.0,4.0369480468464154e-64,1.060660362329153e-63,1.870391755065828e-63
152.0,4.013552529017851e-64,1.0537587331184739e-63,1.9588083456640178e-63
153.0,4.106911317693022e-64,1.078524315782131e-63,1.9301712016794077e-63
154.0,4.133283208414223e-64,1.067806467251291e-63,1.9042402900952948e-63
155.0,4.179786745748703e-64,1.0678638920522456e-63,1.9838082122132675e-63
156.0,4.164217166764885e-64,1.0918370409585989e-63,1.986637203209624e-63
157.0,4.250616507919226e-64,1.1181695580597598e-63,1.9401219801278278e-63
158.0,4.275188005263732e-64,1.1135583111391605e-63,1.9090830649474682e-63
159.0,4.343953554037647e-64,1.1335361996767836e-63,2.0362691185690108e-63
160.0,4.340131100588815e-64,1.1165306336222447e-63,1.9633402819008464e-63
161.0,4.515952399047081e-64,1.1707524351904946e-63,1.936295517291065e-63
162.0,4.5034130446106496e-64,1.1437841761276821e-63,1.9679927119291437e-63
163.0,4.6155890910866506e-64,1.1782364567333093e-63,1.9418549612567962e-63
164.0,4.5872996736884735e-64,1.1567211297238676e-63,1.9758782015927836e-63
165.0,4.762018322703758e-64,1.178475933829513e-63,1.9567636298315076e-63
166.0,4.6949532193539186e-64,1.1959753605360687e-63,1.954148339606404e-63
167.0,4.877963383369285e-64,1.1856950432929292e-63,1.9882317618304544e-63
168.0,4.871404585219522e-64,1.2065741689856102e-63,1.980897062554499e-63
169.0,5.115734236076857e-64,1.2282914410703107e-63,1.9731356048377566e-63
170.0,5.177482750975611e-64,1.2426642489411018e-63,1.9085426616539493e-63
171.0,5.313360685775954e-64,1.2609296865369643e-63,1.9479595735025394e-63
172.0,5.263357239861033e-64,1.227397235016234e-63,1.9307037480773825e-63
173.0,5.389819369012003e-64,1.273742268654208e-63,1.8911629559617283e-63
174.0,5.564360483001753e-64,1.2886292594987828e-63,1.937986013572443e-63
175.0,5.427086165131023e-64,1.2784969010356116e-63,1.9742668693528377e-63
176.0,5.738115295626606e-64,1.2963468562451773e-63,1.9410596459235218e-63
